category,french,zh
NOMS,la gare,火车站
NOMS,la province,省，外省，外地
NOMS,"habitant, e",居民
NOMS,"provincial, e (des provinciaux)",外省人
NOMS,la guerre,战争
NOMS,un état,状态
NOMS,le milieu,中期，中间
NOMS,le développement,发展
NOMS,les medias [medja] n. m. pl.,宣传媒介
NOMS,un isolement,隔离
NOMS,le progrès,进步
NOMS,le transport,交通
NOMS,une autoroute,高速公路
NOMS,la liaison,联系，交往
NOMS,le retour,返回，回程
NOMS,le plan,方面
NOMS,la décentralisation,地方分权
NOMS,un ordre,顺序，次序
NOMS,l'ordre du jour,议事日程
NOMS,le pouvoir,权力
NOMS,une activité,活动
NOMS,le festival (des festivals),会演，联欢节
NOMS,Avignon,阿维尼翁
NOMS,Strasbourg,斯特拉斯堡
NOMS,Dijon,第戎
NOMS,le théâtre,戏剧
NOMS,une occasion,机会
NOMS,la Côte d'Azur,蓝色海岸
NOMS,l'Alsace,阿尔萨斯
NOMS,la Bretagne,布列塔尼
NOMS,le Massif Central,中央高原
NOMS,le paysage,风景
VERBES,opposer v. t.,把……对立
VERBES,tirer v. t.,拉，使摆脱
VERBES,permettre v. t.（变位同 mettre）,允许，许可
VERBES,disposer (de) v. t. ind.,拥有
VERBES,se développer,发展
VERBES,avoir lieu,举行，进行
VERBES,se faire,产生，形成
ADJECTIFS,"court, e",短的
ADJECTIFS,"mondial, e (mondiaux)",世界的
ADJECTIFS,"accéléré, e",加速的，高速的
ADJECTIFS,autonome,自主的
ADJECTIFS,extraordinaire,奇特的
ADJECTIFS,"différent, e",不同的
AUTRES,à côté de loc. prép.,在……旁边
AUTRES,dès que loc. conj.,一……就
AUTRES,de nos jours loc. adv.,如今，当今
AUTRES,volontiers adv.,宁愿，通常
AUTRES,aller et retour,往返，来回
AUTRES,actuellement adv.,目前
AUTRES,certes adv.,当然，的确
