le quartier (nom; Le quartier est calme.)
le village (nom; Ce village est petit.)
un kilomètre carré (nom; Cette région couvre plusieurs kilomètres carrés.)
l'Afghanistan (nom propre; L'Afghanistan est un pays d'Asie.)
l'Europe (nom; La France se trouve en Europe.)
voisin (nom; La Belgique est un pays voisin de la France.)
le nord (nom; Lille est dans le nord de la France.)
la mer (nom; La mer borde cette région.)
la Mer du Nord (nom propre; La Mer du Nord est au nord de l’Europe.)
un océan (nom; Un océan est plus vaste qu’une mer.)
le cours d'eau (nom; Un cours d'eau traverse la plaine.)
le fleuve (nom; La Loire est un grand fleuve.)
les Alpes (nom propre; Les Alpes sont hautes.)
Lyon (nom propre; Lyon est une grande ville française.)
l'économie (nom; L'économie française est variée.)
producteur (nom; La France est un grand producteur de blé.)
l'élevage (nom; L'élevage occupe une place importante.)
la place (nom; L’agriculture occupe une place importante.)
le domaine (nom; Dans le domaine industriel, la France est développée.)
l'automobile (nom; L'automobile est un domaine industriel.)
la construction (nom; La construction se développe vite.)
courir (verbe; Il court dans le quartier.)
s'étendre (verbe; La plaine s'étend jusqu’à la mer.)
baigner (verbe; La Méditerranée baigne le sud de la France.)
parcourir (verbe; La Seine parcourt Paris.)
développer (verbe; Le pays développe son économie.)
cultiver (verbe; On cultive du blé et des pommes de terre.)
occuper (verbe; L’agriculture occupe une grande place.)
prédominer (verbe; L’élevage prédomine dans cette région.)
meilleur (adj; C’est le meilleur produit de la région.)
vaste (adj; La France possède de vastes plaines.)
occidental, occidentale (adj; La partie occidentale du pays est baignée par l’Atlantique.)
occidentaux (adj; Les pays occidentaux se développent vite.)
principal, principale (adj; La Loire est un des principaux fleuves de France.)
principaux (adj; Les principaux fleuves sont la Loire, le Rhône et la Seine.)
nombreux, nombreuse (adj; La France a de nombreux cours d’eau.)
long, longue (adj; La Loire est longue.)
varié, variée (adj; Le relief est varié.)
haut, haute (adj; Les Alpes sont très hautes.)
industriel, industrielle (adj; La construction automobile est industrielle.)
agricole (adj; La France est un pays agricole et industriel.)
rural, rurale (adj; La population rurale diminue.)
ruraux (adj; Les villages ruraux sont nombreux.)
environ (adv; La France a environ soixante millions d’habitants.)
etc. (expression; On cultive le blé, la betterave, la pomme de terre, etc.)
à la fois (expression; La France est à la fois agricole et industrielle.)
