lesson	category	original_french	entry	zh	pos	example	source_note	batch_line
L28	NOMS	la gare	la gare	火车站	nom	Il attend son ami à la gare de Dijon.	L28课文/阅读语境改写；未逐字标作原文	la gare (nom; Il attend son ami à la gare de Dijon.)
L28	NOMS	la province	la province	省，外省，外地	nom	La province dispose aujourd'hui de moyens de transport rapides.	L28课文/阅读语境改写；未逐字标作原文	la province (nom; La province dispose aujourd'hui de moyens de transport rapides.)
L28	NOMS	habitant, e	un habitant, une habitante	居民	nom	Les habitants de la province prennent le train pour Paris.	L28课文/阅读语境改写；未逐字标作原文	un habitant, une habitante (nom; Les habitants de la province prennent le train pour Paris.)
L28	NOMS	provincial, e (des provinciaux)	un provincial, une provinciale	外省人	nom	Les provinciaux ne se sentent plus isolés.	L28课文/阅读语境改写；未逐字标作原文	un provincial, une provinciale (nom; Les provinciaux ne se sentent plus isolés.)
L28	NOMS	la guerre	la guerre	战争	nom	Depuis la guerre, les liaisons se sont améliorées progressivement.	L28课文/阅读语境改写；未逐字标作原文	la guerre (nom; Depuis la guerre, les liaisons se sont améliorées progressivement.)
L28	NOMS	un état	un état	状态	nom	La province n'est plus dans le même état qu'autrefois.	L28课文/阅读语境改写；未逐字标作原文	un état (nom; La province n'est plus dans le même état qu'autrefois.)
L28	NOMS	le milieu	le milieu	中期，中间	nom	Depuis le milieu du siècle, les transports se sont développés.	L28课文/阅读语境改写；未逐字标作原文	le milieu (nom; Depuis le milieu du siècle, les transports se sont développés.)
L28	NOMS	le développement	le développement	发展	nom	Le développement des autoroutes rapproche les régions.	L28课文/阅读语境改写；未逐字标作原文	le développement (nom; Le développement des autoroutes rapproche les régions.)
L28	NOMS	les medias [medja] n. m. pl.	les médias	宣传媒介	nom	Les médias parlent souvent des activités culturelles.	L28课文/阅读语境改写；未逐字标作原文	les médias (nom; Les médias parlent souvent des activités culturelles.)
L28	NOMS	un isolement	un isolement	隔离	nom	Les transports tirent la province de son isolement.	L28课文/阅读语境改写；未逐字标作原文	un isolement (nom; Les transports tirent la province de son isolement.)
L28	NOMS	le progrès	le progrès	进步	nom	Le progrès des communications change la vie quotidienne.	L28课文/阅读语境改写；未逐字标作原文	le progrès (nom; Le progrès des communications change la vie quotidienne.)
L28	NOMS	le transport	le transport	交通	nom	Le transport accéléré relie Paris aux grandes villes.	L28课文/阅读语境改写；未逐字标作原文	le transport (nom; Le transport accéléré relie Paris aux grandes villes.)
L28	NOMS	une autoroute	une autoroute	高速公路	nom	Une autoroute passe à côté de la ville.	L28课文/阅读语境改写；未逐字标作原文	une autoroute (nom; Une autoroute passe à côté de la ville.)
L28	NOMS	la liaison	la liaison	联系，交往	nom	La liaison entre Paris et Strasbourg est rapide.	L28课文/阅读语境改写；未逐字标作原文	la liaison (nom; La liaison entre Paris et Strasbourg est rapide.)
L28	NOMS	le retour	le retour	返回，回程	nom	Il prend un billet aller et retour pour Avignon.	L28课文/阅读语境改写；未逐字标作原文	le retour (nom; Il prend un billet aller et retour pour Avignon.)
L28	NOMS	le plan	le plan	方面	nom	Sur le plan culturel, la province est très active.	L28课文/阅读语境改写；未逐字标作原文	le plan (nom; Sur le plan culturel, la province est très active.)
L28	NOMS	la décentralisation	la décentralisation	地方分权	nom	La décentralisation est à l'ordre du jour.	L28课文/阅读语境改写；未逐字标作原文	la décentralisation (nom; La décentralisation est à l'ordre du jour.)
L28	NOMS	un ordre	un ordre	顺序，次序	nom	Il faut mettre ces idées dans un ordre clair.	L28课文/阅读语境改写；未逐字标作原文	un ordre (nom; Il faut mettre ces idées dans un ordre clair.)
L28	NOMS	l'ordre du jour	l'ordre du jour	议事日程	nom	La décentralisation est à l'ordre du jour.	L28课文/阅读语境改写；未逐字标作原文	l'ordre du jour (nom; La décentralisation est à l'ordre du jour.)
L28	NOMS	le pouvoir	le pouvoir	权力	nom	Le pouvoir n'est pas seulement à Paris.	L28课文/阅读语境改写；未逐字标作原文	le pouvoir (nom; Le pouvoir n'est pas seulement à Paris.)
L28	NOMS	une activité	une activité	活动	nom	Les activités culturelles se développent en province.	L28课文/阅读语境改写；未逐字标作原文	une activité (nom; Les activités culturelles se développent en province.)
L28	NOMS	le festival (des festivals)	le festival	会演，联欢节	nom	Le festival d'Avignon a lieu en été.	L28课文/阅读语境改写；未逐字标作原文	le festival (nom; Le festival d'Avignon a lieu en été.)
L28	NOMS	Avignon	Avignon	阿维尼翁	expression	Le festival a lieu à Avignon.	L28课文/阅读语境改写；未逐字标作原文	Avignon (expression; Le festival a lieu à Avignon.)
L28	NOMS	Strasbourg	Strasbourg	斯特拉斯堡	expression	Strasbourg dispose d'une grande activité culturelle.	L28课文/阅读语境改写；未逐字标作原文	Strasbourg (expression; Strasbourg dispose d'une grande activité culturelle.)
L28	NOMS	Dijon	Dijon	第戎	expression	Dijon est une ville connue pour son patrimoine.	L28课文/阅读语境改写；未逐字标作原文	Dijon (expression; Dijon est une ville connue pour son patrimoine.)
L28	NOMS	le théâtre	le théâtre	戏剧	nom	Le théâtre attire beaucoup de spectateurs à Avignon.	L28课文/阅读语境改写；未逐字标作原文	le théâtre (nom; Le théâtre attire beaucoup de spectateurs à Avignon.)
L28	NOMS	une occasion	une occasion	机会	nom	C'est une bonne occasion de visiter la province.	L28课文/阅读语境改写；未逐字标作原文	une occasion (nom; C'est une bonne occasion de visiter la province.)
L28	NOMS	la Côte d'Azur	la Côte d'Azur	蓝色海岸	nom propre	La Côte d'Azur attire volontiers les touristes.	L28课文/阅读语境改写；未逐字标作原文	la Côte d'Azur (nom propre; La Côte d'Azur attire volontiers les touristes.)
L28	NOMS	l'Alsace	l'Alsace	阿尔萨斯	nom propre	L'Alsace possède des paysages différents.	L28课文/阅读语境改写；未逐字标作原文	l'Alsace (nom propre; L'Alsace possède des paysages différents.)
L28	NOMS	la Bretagne	la Bretagne	布列塔尼	nom propre	La Bretagne garde une forte identité régionale.	L28课文/阅读语境改写；未逐字标作原文	la Bretagne (nom propre; La Bretagne garde une forte identité régionale.)
L28	NOMS	le Massif Central	le Massif Central	中央高原	nom propre	Le Massif Central offre des paysages extraordinaires.	L28课文/阅读语境改写；未逐字标作原文	le Massif Central (nom propre; Le Massif Central offre des paysages extraordinaires.)
L28	NOMS	le paysage	le paysage	风景	nom	Le paysage de Provence est très varié.	L28课文/阅读语境改写；未逐字标作原文	le paysage (nom; Le paysage de Provence est très varié.)
L28	VERBES	opposer v. t.	opposer	把……对立	verbe	On oppose souvent Paris à la province.	L28课文/阅读语境改写；未逐字标作原文	opposer (verbe; On oppose souvent Paris à la province.)
L28	VERBES	tirer v. t.	tirer	拉，使摆脱	verbe	Le progrès tire la province de son isolement.	L28课文/阅读语境改写；未逐字标作原文	tirer (verbe; Le progrès tire la province de son isolement.)
L28	VERBES	permettre v. t.（变位同 mettre）	permettre	允许，许可	verbe	Le train permet d'aller vite à Strasbourg.	L28课文/阅读语境改写；未逐字标作原文	permettre (verbe; Le train permet d'aller vite à Strasbourg.)
L28	VERBES	disposer (de) v. t. ind.	disposer de	拥有	verbe	La province dispose de grandes activités culturelles.	L28课文/阅读语境改写；未逐字标作原文	disposer de (verbe; La province dispose de grandes activités culturelles.)
L28	VERBES	se développer	se développer	发展	verbe	Les transports se développent rapidement.	L28课文/阅读语境改写；未逐字标作原文	se développer (verbe; Les transports se développent rapidement.)
L28	VERBES	avoir lieu	avoir lieu	举行，进行	expression	Le festival a lieu chaque été.	L28课文/阅读语境改写；未逐字标作原文	avoir lieu (expression; Le festival a lieu chaque été.)
L28	VERBES	se faire	se faire	产生，形成	verbe	La liaison se fait par train ou par autoroute.	L28课文/阅读语境改写；未逐字标作原文	se faire (verbe; La liaison se fait par train ou par autoroute.)
L28	ADJECTIFS	court, e	court, courte	短的	adj	Le trajet est plus court grâce au TGV.	L28课文/阅读语境改写；未逐字标作原文	court, courte (adj; Le trajet est plus court grâce au TGV.)
L28	ADJECTIFS	mondial, e (mondiaux)	mondial, mondiale	世界的	adj	Certaines villes ont une réputation mondiale.	L28课文/阅读语境改写；未逐字标作原文	mondial, mondiale (adj; Certaines villes ont une réputation mondiale.)
L28	ADJECTIFS	accéléré, e	accéléré, accélérée	加速的，高速的	adj	Le développement accéléré des transports change la province.	L28课文/阅读语境改写；未逐字标作原文	accéléré, accélérée (adj; Le développement accéléré des transports change la province.)
L28	ADJECTIFS	autonome	autonome	自主的	adj	Certaines régions deviennent plus autonomes.	L28课文/阅读语境改写；未逐字标作原文	autonome (adj; Certaines régions deviennent plus autonomes.)
L28	ADJECTIFS	extraordinaire	extraordinaire	奇特的	adj	La Provence possède un paysage extraordinaire.	L28课文/阅读语境改写；未逐字标作原文	extraordinaire (adj; La Provence possède un paysage extraordinaire.)
L28	ADJECTIFS	différent, e	différent, différente	不同的	adj	Chaque région a une vie différente.	L28课文/阅读语境改写；未逐字标作原文	différent, différente (adj; Chaque région a une vie différente.)
L28	AUTRES	à côté de loc. prép.	à côté de	在……旁边	expression	La gare est à côté de l'hôtel.	L28课文/阅读语境改写；未逐字标作原文	à côté de (expression; La gare est à côté de l'hôtel.)
L28	AUTRES	dès que loc. conj.	dès que	一……就	expression	Dès que le train arrive, nous partons.	L28课文/阅读语境改写；未逐字标作原文	dès que (expression; Dès que le train arrive, nous partons.)
L28	AUTRES	de nos jours loc. adv.	de nos jours	如今，当今	expression	De nos jours, la province n'est plus isolée.	L28课文/阅读语境改写；未逐字标作原文	de nos jours (expression; De nos jours, la province n'est plus isolée.)
L28	AUTRES	volontiers adv.	volontiers	宁愿，通常	adv	Les touristes visitent volontiers la Côte d'Azur.	L28课文/阅读语境改写；未逐字标作原文	volontiers (adv; Les touristes visitent volontiers la Côte d'Azur.)
L28	AUTRES	aller et retour	aller et retour	往返，来回	expression	Il achète un billet aller et retour.	L28课文/阅读语境改写；未逐字标作原文	aller et retour (expression; Il achète un billet aller et retour.)
L28	AUTRES	actuellement adv.	actuellement	目前	adv	Actuellement, les liaisons sont plus rapides.	L28课文/阅读语境改写；未逐字标作原文	actuellement (adv; Actuellement, les liaisons sont plus rapides.)
L28	AUTRES	certes adv.	certes	当然，的确	adv	Certes, Paris reste important, mais la province se développe.	L28课文/阅读语境改写；未逐字标作原文	certes (adv; Certes, Paris reste important, mais la province se développe.)
