词,听,产,义,音,变,翻译,状态
▶ une maison de retraite,,,,,,[T4Q13] 养老院,
inférieur à,,,,,,[L30课前复习] 低于；少于,
accompagner,,,,,,[T4Q13] 陪伴；陪同,
la motivation,,,,,,[T4Q17] 动力；积极性,
avoir de l'appétit pour + infinitif,,,,,,[T4Q15] 对做某事有强烈兴趣／渴望,
guider,,,,,,[T4Q5] 引导；带领,
ouvrir,,,,,,[T4Q6] 打开；开放,
décrocher un job,,,,,,[T4Q17] 找到／拿下一份工作,
accueillir,,,,,,[T4Q6] 接待；欢迎,
habituel,,,,,,[T4Q18] 通常的；惯常的,
montrer,,,,,,[T4Q17] 显示；展现；给……看,
reporter,,,,,,[T4Q9] 推迟；延期,
démontrer,,,,,,[T4Q17] 证明；展现,
il est interdit de + infinitif,,,,,,[T4Q4] 禁止做某事,
supplémentaire,,,,,,[L30课前复习] 额外的；补充的,
l'intégration,,,,,,[T4Q19] 融入；融合,
lointain,,,,,,[T4Q12] 遥远的,
un animal domestique,,,,,,[T4Q13] 宠物；家养动物,
apporter,,,,,,[T4Q9] 带来,
souffrir de,,,,,,[T4Q13] 受……之苦；患有,
oser,,,,,,[L30课前复习] 敢；敢于,
l'entreprise,,,,,,[T4Q11/Q17] 企业；公司,
les personnes âgées,,,,,,[T4Q13] 老年人,
le renseignement,,,,,,[T4Q5] 信息；咨询,
le sondage,,,,,,[T4Q12] 调查；民意调查,
l'hiver,,,,,,[T4Q6] 冬天,
le service,,,,,,[T4Q9] 服务；部门,
le travail,,,,,,[T4Q4] 工作；工作量,
contre,,,,,,[T4Q16] 反对；与……交换,
coûteux,,,,,,[T4Q13] 昂贵的；成本高的,
l'enthousiasme,,,,,,[T4Q17] 热情；热心,
tenter,,,,,,[T4Q19] 尝试；试图,
offrir,,,,,,[T4Q13] 提供；赠送,
une association,,,,,,[T4Q19] 协会；社团,
l'atelier,,,,,,[T4Q20] 工坊；车间；工作室；学习小组,
le vent,,,,,,[T4Q5] 风,
quitter,,,,,,[T4Q13] 离开（后直接接宾语）,
imaginer,,,,,,[T4Q16] 想象,
le CV,,,,,,[T4Q11] 简历,
dès maintenant,,,,,,[T4Q7] 从现在开始；即刻起,
la monnaie,,,,,,[T4Q16] 零钱；货币；钱,
gagner,,,,,,[T4Q7] 赢得；获胜,
prévenir,,,,,,[T4Q9] 通知；提醒,
au contraire,,,,,,[L30课前复习] 相反；反而,
les nouvelles,,,,,,[T4Q10] 近况；消息,
acheter,,,,,,[T4Q16] 买；购买,
le bâtiment,,,,,,[T4Q4] 建筑物,
le courant marin,,,,,,[T4Q5] 海流；洋流,
l'obéissance,,,,,,[T4Q15] 服从；顺从,
le prix,,,,,,[T4Q7] 价格；奖项,
la publicité,,,,,,[T4Q7] 广告,
supérieur à,,,,,,[L30课前复习] 高于；优于,
le soir même,,,,,,[T4Q18] 当天晚上,
se garer,,,,,,[T4Q4] 停车；把车停好,
démarrer,,,,,,[T4Q20] 启动；开始,
la promenade,,,,,,[T4Q5] 散步；漫游；观光,
le désir,,,,,,[T4Q17] 愿望；渴望,
le concours,,,,,,[T4Q8/Q20] 比赛；竞赛；考试,
obéir,,,,,,[T4Q15] 服从；听从,
concerné,,,,,,[T4Q9] 相关的；有关的,
les travaux,,,,,,[T4Q4] 工程；施工,
interdit,,,,,,[T4Q4] 被禁止的；不允许的,
à l'avance,,,,,,[T4Q18] 提前；预先,
marin,,,,,,[T4Q5] 海洋的；海上的,
stationner,,,,,,[T4Q4] 停车；停放,
le jeu,,,,,,[T4Q7] 游戏；竞猜活动,
une aventure,,,,,,[T4Q12] 冒险；奇遇,
incroyable,,,,,,[L30课前复习] 难以置信的；惊人的,
la solitude,,,,,,[T4Q13] 孤独；孤独状态,
s'apercevoir,,,,,,[L30课前复习] 注意到；察觉到,
un gagnant,,,,,,[T4Q7] 赢家；获胜者,
vivre une expérience,,,,,,[T4Q19] 体验一段经历,
avoir envie de + infinitif,,,,,,[T4Q17] 想要做某事,
informer,,,,,,[T4Q6/Q9] 通知；告知,
la visite,,,,,,[T4Q5/Q7] 参观；访问,
nécessiter,,,,,,[T4Q13] 需要；必须要求,
le logement,,,,,,[T4Q13] 住所；住房,
une assistance à domicile,,,,,,[T4Q13] 居家协助；上门照护,
le retour,,,,,,[T4Q10] 返回；归来,
en mer,,,,,,[T4Q5] 在海上；出海,
une famille nombreuse,,,,,,[T4Q18] 多子女家庭,
cependant,,,,,,[L30课前复习] 然而；不过,
laisser,,,,,,[T4Q4] 留下；让,
un cadeau,,,,,,[T4Q7] 礼物,
s'inscrire à un cours,,,,,,[T4Q11] 报名参加课程,
suivre un cours / une formation / un traitement,,,,,,[T4Q13/Q20] 上课；参加培训；接受治疗,
un artisan,,,,,,[T4Q20] 手艺人；工匠,
considérable,,,,,,[L30课前复习] 相当大的；可观的,
faire la preuve de,,,,,,[T4Q17] 证明；展现,
un collègue,,,,,,[T4Q9] 同事,
le bateau,,,,,,[T4Q5] 船,
la passion,,,,,,[T4Q17] 热爱；激情,
avancer un rendez-vous,,,,,,[T4Q9] 把约会或预约提前,
réservé,,,,,,[T4Q6/Q11] 预留的；专供的,
